Latitude,Longitude
25.867056,-80.129374
25.868195,-80.128902
25.868755,-80.137528
25.869315,-80.137892
25.869759,-80.12976
25.870686,-80.128773
25.870725,-80.125147
25.870107,-80.124953
25.869991,-80.124889
25.866998,-80.124739
25.862886,-80.128129
25.861978,-80.128258
25.861882,-80.12785
25.862133,-80.126992
25.866245,-80.124224
25.87115,-80.123924
25.87298,-80.124551
25.872535,-80.129353
25.874466,-80.129503
25.875373,-80.130726
25.879389,-80.128988
25.882615,-80.127143
25.886438,-80.127272
25.886788,-80.12884
25.8812,-80.129558
25.885987,-80.13887
25.888767,-80.138913
25.893053,-80.135823
25.892821,-80.13475
25.893863,-80.133763
25.893786,-80.131832
25.890813,-80.130545
25.887377,-80.128957
25.887146,-80.127412
25.89367,-80.129085
25.894906,-80.126983
25.895987,-80.129386
25.898998,-80.12724
25.899114,-80.124966
25.902926,-80.125137
25.907829,-80.124536
25.920843,-80.124703
25.922347,-80.12578
25.922277,-80.127919
25.92413,-80.127018
25.924747,-80.122512
25.929842,-80.122083
25.929394,-80.12889
25.931555,-80.127602
25.933176,-80.1258
25.935646,-80.124083
25.936418,-80.128547
25.936804,-80.130091
25.937576,-80.126744
25.945526,-80.123912
25.945911,-80.122023
25.950002,-80.125371
25.957179,-80.124169
25.957488,-80.121508
25.962735,-80.121337
25.969266,-80.12246
25.96888,-80.124091
25.952829,-80.127095
25.953873,-80.131428
25.951249,-80.134689
25.943691,-80.134686
25.933193,-80.135994
25.931187,-80.131768
25.930106,-80.140694
25.944617,-80.138634
25.944926,-80.146531
25.931341,-80.149792
25.926401,-80.153225
25.923468,-80.153225
25.921615,-80.153225
25.92038,-80.148419
25.913278,-80.143956
25.909262,-80.159168
25.905034,-80.157345
25.902873,-80.149277
25.899321,-80.150479
25.89963,-80.145157
25.891291,-80.154942
25.883669,-80.157668
25.879499,-80.164363
25.868842,-80.169856
25.867114,-80.172512
25.85661,-80.172855
25.848268,-80.173714
25.844251,-80.174057
25.837074,-80.181095
25.830488,-80.180454
25.824404,-80.179893
25.820387,-80.178692
25.817142,-80.182983
25.814824,-80.185387
25.81304,-80.185521
25.804695,-80.185607
25.804308,-80.186551
25.802918,-80.186808
25.802918,-80.185693
25.797508,-80.185521
25.797508,-80.18698
25.796272,-80.187238
25.795345,-80.18698
25.795499,-80.185778
25.781205,-80.18536
25.778036,-80.186476
25.772394,-80.184587
25.772085,-80.185016
25.771389,-80.186046
25.771296,-80.191956
25.770848,-80.188278
25.765747,-80.188965
25.764742,-80.188621
25.766058,-80.185873
25.76915,-80.186989
25.769459,-80.182955
25.764357,-80.184156
25.763894,-80.184328
25.76544,-80.185701
25.76428,-80.188448
25.757323,-80.189907
25.750116,-80.204573
25.751468,-80.199413
25.750116,-80.204573
25.750116,-80.204573
25.747911,-80.203447
25.746674,-80.20791
25.744961,-80.209366
25.743028,-80.210696
25.739704,-80.217906
25.734871,-80.226103
25.732216,-80.232543
25.731365,-80.233744
25.7292,-80.23383
25.728195,-80.233487
25.727113,-80.235547
25.728582,-80.237263
25.724406,-80.241383
25.713849,-80.249239
25.712249,-80.249688
25.708614,-80.247885
25.69972,-80.245997
25.692141,-80.249774
25.689014,-80.265274
25.688395,-80.28347
25.68066,-80.284157
25.656214,-80.283299
25.646465,-80.283985
25.633001,-80.294113
25.628977,-80.315571
25.628049,-80.309906
25.617369,-80.310593
25.61257,-80.309048
25.607772,-80.310421
25.604211,-80.31231
25.578937,-80.328095
25.572434,-80.324662
25.564691,-80.327752
25.558497,-80.335305
25.542829,-80.331628
25.538492,-80.336091
25.538182,-80.346391
25.531367,-80.344675
25.529818,-80.352228
25.522879,-80.364604
25.506147,-80.364261
25.486934,-80.369754
25.478566,-80.370784
25.469268,-80.378337
25.464472,-80.399179
25.456103,-80.418062
25.453473,-80.407408
25.450149,-80.420168
25.449529,-80.436991
25.448599,-80.4545
25.438678,-80.461367
25.442399,-80.485742
25.439919,-80.495699
25.428137,-80.492609
25.423176,-80.499132
25.424726,-80.534494
25.429997,-80.547197
